Year,Film,Notes
1992,Raat,score
Antham,score and 1 song,
1997,Super Heroes,
Preminchukundam Raa,,
1998,Bavagaru Bagunnara?,
Ganesh,,
Choodalani Vundi,,
Manasichi Choodu,,
Samarasimha Reddy,,
1999,Anaganaga Oka Ammai,
English Pellam East Godavari Mogudu,,
Neti Gandhi,,
Iddaru Mitrulu,,
Rajakumarudu,,
Seenu,,
Ravoyi Chandamama,,
2000,Annayya,
Yuvakudu,,
Manoharam,,
Rayalaseema Ramanna Chowdary,,
Azad,,
Vamsi,,
Chiru Navvutho,,
2001,Mrugaraju,
Narasimha Naidu,,
Devi Putrudu,,
Murari,,
Kushi,,
Prematho Raa,,
Bhalevadivi Basu,,
Subbu,,
2002,Cheppalani Vundi,
Seema Simham,,
Takkari Donga,,
Aadi,,
Priyadarshini,,
Joruga Husharuga,,
Indra,,
Chennakeshava Reddy,,
Bobby,,
2003,Okkadu,
Pellam Oorelithe,,
Raghavendra,"Reused ""May Maadham"" song from Shahjahan and ""Aalthotta Bhoopathi"" from Youth",
Taarak,,
Palnati Brahmanayudu,,
Kalyana Ramudu,,
Simhachalam,,
Tagore,"Reused ""Malligai Malligai"" song from Arasu",
Ori Nee Prema Bangaram Kaanu,,
Abhimanyu,,
2004,Morning Raga,
Lakshmi Narasimha,,
Anji,,
Adavi Ramudu,,
Samba,,
Yagnam,"Reused ""Kanavu Kanalam Variya"" from Jai",
Sri Anjaneyam,,
Arjun,,
Gudumba Shankar,,
Sakhiya,,
Vidyardhi,,
2005,Subash Chandra Bose,
Athanokkade,,
Narasimhudu,,
Athadu,,
Allari Pidugu,,
Balu,,
Jai Chiranjeeva,,
That is Pandu,,
2006,Raagam,
Ranam,,
Style,,
Veerabhadra,,
Pokiri,,
Ashok,,
Stalin,,
Raraju,,
Seethakoka Chiluka,,
Roommates,,
2007,Poramboku,
Madhumasam,,
Dubai Seenu,,
Lakshyam,,
Chiruta,,
Athidhi,,
Godava,,
Okka Magadu,,
Toss,,
Sri Mahalakshmi,,
2008,Pourudu,
Ontari,,
Kantri,"Reused ""Vasantha Mullai"" from Pokkiri",
Parugu,,
Yuvatha,,
Hero,,
Souryam,,
2009,Sasirekha Parinayam,
Pista,,
Bhadradri,,
Evaraina Epudaina,,
Mithrudu,,
Ek Niranjan,,
Rechipo,,
Baanam,,
Billa,,
Aa Okkadu,,
2010,Varudu,
Em Pillo Em Pillado,,
Subhapradam,,
Kothimooka,,
Don Seenu,,
Happy Happy Ga,,
Khaleja,,
Kalyanram Kathi,,
Rakta Charitra  Rakta Charitra 2,,
2011,Parama Veera Chakra,
Vastadu Naa Raju,,
Shakthi,,
Teen Maar,,
Maaro,,
Solo,,
2012,Rachcha,
Ramachari,,
Cameraman Gangatho Rambabu,,
Krishnam Vande Jagadgurum,,
2013,Telugulo Naaku Nachni Padam Prema,
Prema Geema Janta Nai,,
Doosukeltha,,
2014,Basanti,
Rough,,
2015,Tippu,
Lion,,
2016,Gentleman,
Siddhartha,,
2017,Aakatayi,
Fashion Designer s/o Ladies Tailor,,
Jayadev,"Reused ""Hey Mama"" as ""Ne Raja""",
Ami Thumi,,
Shamanthakamani,,
LIE,,
Balakrishnudu,,
Okka Kshanam,,
2018,MLA,
Ee Maaya Peremito,,
Devadas,,
2019,iSmart Shankar,
2021,Red,
Seetimaarr,,
Black Rose,,
Aaradugula Bullet,,
Narappa,[11],
Sridevi Soda Center,,
Republic,,
2022,Acharya,[11]
Bhala Thandanana,,
Balamevvadu,,
Nenu Meeku Baaga Kavalsinavaadini,,
S5 No Exit,,
2023,Premadesam,
Shaakuntalam,,
Ala Ila Ela,[12],
Bedurulanka 2012,,
Rebels of Thupakula Gudem,,
Mr. King,,
Raa Raa Penimiti,,
Jilebi,,
Madhurapudi Gramam Ane Nenu,,
2024,Raajadhani Files,
Double iSmart,,
